9941001=CONTACT MOVEABLE
BA012020=BASE & BUSBAR ASSY
BA012030=BASE & TERMINAL ASSEM
BA012040=BASE ASSEMBLY
BA012050=BASE & BUS ASSEMBLY
BA013001=BASE PLATE
BA017001=BASE MAIN
BA017010=BASE ASSEMBLY (SUB)
BA017015=BASE ASSEMBLY SUB
BA017020=BASE ASSEMBLY
BA060050=BASE ASSEMBLY
BA061001=BASE MOLDED ASSEMBLY
"BB006002=BUS BAR, LONG - 500 A"
"BB006010=BUS BAR ASSY, SHORT -"
"BB006020=BUS BAR ASSY, LONG -"
BB009010=BUS BAR STATIONARY
BB010001=BUS BAR
BB010002=BUSBAR STATIONARY
BB010003=STATIONARY BUS BAR
BB010010=BUS BAR STATIONARY
BB010020=STATIONARY BUSBAR ASS
BB010030=STATIONARY BUS BAR AS
BB053080=LUG SEAT ASSEMBLY
BB054002=BUS BAR
BR014001=BRACKER COVER MTG.
BR019002=BRACKET
BR022001=COVER MTG PLATE
BR025001=PIVOT SUPPORT
BR029001=BRACKET MOUNTING
BR030001=AUXILIARY OPERATOR
BR030010=AUXILIARY OPERATOR AS
BR030020=AUXILIARY OPERATOR
BR033002=BRACKET ECON. SWITCH
BU006001=INSULATOR BUSHING
BU006003=INSULATOR MTG BUSHING
BU007001=GUIDE SPRING
BU007002=MAIN OPERATOR GUIDE
BU007003=SPRING GUIDE
BU009001=ADJUSTMENT BUSHING
BU010001=SPRING BUSHING
BU011001=BUSHONG AUX. ADJUSTME
BU012001=BUSHING SPACER
BU013001=BUSHING ADJUSMENT
CL006040=COIL
CL007010=COIL ASSEMBLY
CL008010=COIL ASSEMBLY
CL008020=COIL ASSEMBLY 28 VDC
CL009020=COIL ASSEMBLY
CL009030=COIL ASSEMBLY
CL009040=COIL ASSEMBLY
CL009050=COIL ASSEMBLY
CL012010=COIL
CS010001=MOVABLE CORE
CS012001=CORE GUIDE
CS013001=CORE
CS013002=STATIONARY CORE
CS013003=MOVABLE CORE
CS013010=MOVABLE CORE ASSEMBLY
CS013020=STATIONARY CORE ASSEM
CS013040=CORE & MAIN OPERATOR
CS013060=MAIN OPERATOR
CS014001=CORE GUIDE
CT011002=CONTACT
CT012001=CONTACT 1/4 DIA.
CT013001=CONTACT
CV010001=CHAMBER BASE
CV011001=ARC CHAMBER BASE
CV011003=CHAMBER BASE
CV012001=COVER VENT
CV013001=HU6805-1.594AL1100 1.425+/-.015
CV013010=COVER ASSEMBLY
CV015001=COVER
CV015002=COVER BRACKET
CV015010=COVER ASSEMBLY
CV018001=ZT39-42-1.69
"IF014003=INSERT, 10-32"
IF015002=BUSBAR ROD #6-32
IF016001=SPACER
IF019001=ALUM RIVET 3/32 X 3/1
IF019002=ALUMINUM RIVET
IF021001=MTG BRACKET SPACER
IF022001=AUX INSULATOR SPACER
IF022002=INSULATOR SPACER
IF023002=SPRING LOCATOR
IF025001=6-32 X 1 SS STUD
IN006030=CARRIER ASSEMBLY
IN006040=CARRIER ASSEMBLY
IN007001=INSULATION
IN008001=CARRIER INSULATOR
IN008020=CARRIER ASSEMBLY
IN010001=WASHER INSULATION
IN011001=CONTACT CARRIER
MC016001=#4-40 SCREW MODIFIED
MS35338103=LOCKWASHER
MS35338105=LOCKWASHER
MS3533841=LOCKWASHER
MS3533898=LOCKWASHER
MS3533899=LOCKWASHER #8 SPLIT
MS35649265T=NUT
MS35649286T=NUT 8-32
MS35650305T=NUT
MS356503385T=NUT
MS356503395T=NUT
N8037OBN=NUT
OP017001=OPERATOR ECON. SWITCH
OP021002=MAIN CONTACT OPERATOR
OP022001=AUXILIARY OPERATOR
OP024001=AUXILLIARY OPERATOR
OP024002=AUXILLIARY OPERATOR
OP024010=SWITCH OPERATOR
OP024020=SWITCH OPERATOR
OP026001=AUX OPERATOR
OP027001=MAIN OPERATOR
OP027002=AUXILIARY OPERATOR
S0100RSO=SCREW
S0125FSO=SCREW
"S0200FSO=SCREW 10-32 X 2" FLAT""0200F"
S0225RSO=SCREW 10-32 X 2 1/4 R
S0275ACO=SCREW
S2018FSO=2-56 X 3/16 FLAT HEAD
S2025BBO=SCREW
S2025BSO=SCREW 2-56 X 1/4 BD H
S2025FBO=2-56 X 1/4 FLAT HEAD
S2025FCN=2-56 X 1/4 FLAT HEAD
"S2025FSO=SCREW, 2-56 X 1/4 FL"
S2031BSO=2-56 X 5/16 BINDER HE
S2031PSO=SCREW
S2034BSO=SCREW
S2037BSO=#2-56 X 3/8 BH
S4031RSO=4-40 X 5/16 ROUND HEA
S4034BSO=SCREW
S4037BSO=SCREW #4-40 X 3/8 BH
S4037FBO=4-40 X 3/8 FLAT HEAD
S4037FSO=4-40 X 3/8 FLAT HEAD
S4037PSO=4-40 X 3/8 PAN HEAD S
S4037RSO=4-40 X 3/8 RD. HD. SC
S4038FBO=SCREW
S4050FSO=4-40 X1/2 FLAT HEAD S
S4050RSO=4-40 X 1/2 ROUND HEAD
S6037RSO=6-32 X 3/8 ROUND HEAD
S6044FBO=SCREW #6 - 32 X 7/16
S6044FSO=6-32 X 7/16 FLAT HEAD
S6050ASO=6-32 X 1/2 SE
S6050FBO=SCREW #6-32 X
S6050FSO=SCREW #6 X 1/2 STAINL
S6050RSO=SCREW #6-32 X 1/2 RH
S6068BSO=6-32   5/8 B
S6068RSO=6-32 X 11/16 ROUND HEAD
S6075FSO=SCREW #6-32 X
S8063RBO=SCREW
S8075HSO=8-32 X 3/4 HEX HEAD S
S8075RBN=8-32 X 3/4 RH BRASS
S8075RSO=SCREW
S8087FSO=8-32 X 7/8 FI
S8087RBN=SCREW 8-32 X 7/8 R.H.
S8087RSO=SCREW #8-32 X 7/8 RH
S8100FSO=SCREW
S8100RBN=8-32 X 1 RD HD BRASS
S8150FSO=8-32 X 1 1/2 FLAT HEA
SA105C30=ACTUATOR ASSEMBLY
SA105C40=BASE ASSEMBLY
SA105E10=PRIMARY ASSEMBLY
SA105E20=CONTACTOR ASSY (SUB)
SA105E30=ACTUATOR ASSEMBLY
SA105E40=BASE ASSEMBLY
SA105H40=BASE ASSEMBLY
SA106100=ACTUATOR ASSEMBLY
SA106110=MAIN CONTACT ASSEMBLY
SD104030=ACTUATOR ASSEMBLY
SD104040=TOP FRAME ASSEMBLY
SD113030=ACTUATOR ASSEMBLY (SU
SD113E10=PRIMARY ASSEMBLY
SD113E20=ACTUATOR ASSEMBLY
SD113E40=SWITCH PLATE ASSEMBLY
SD113E50=MAIN BASE ASSEMBLY
SD113E60=MOVABLE BUSBAR
SD113EPWD=PRACTICAL WIRING DIA
SD113G10=PRIMARY ASSEMBLY
SH159040=ACTUATOR ASSEMBLY
SH159050=ARMATURE & FRAME ASSE
SH159A10=PRIMARY ASSEMBLY
SH159A20=ACTUATOR AND BASE ASS
SH159A30=ACTUATOR ASSEMBLY
SH159A40=ACTUATOR ASSEMBLY
SH159A50=ARMATURE & FRAME ASSE
SH159PWD=PRACTICAL WIRING DIAG
SP006003=RETURN SPRING
SP008001=SPRING
SP010001=RETURN SPRING
SP013001=SPRING
SP013002=PLUNGER
SP013003=PIN PLUNGER
SP013010=CENTER SPRING ASSY
ST004002=MAGNET SPACER
ST005001=CORE PLATE
ST005002=CORE PLATE
ST006001=COIL CORE
ST008001=ACTUATOR FRAME TOP
ST008010=BOTTOM PLATE ASSEMBLY
ST009001=ACTUATOR
ST009002=ACTUATOR
ST009010=FRAME OPERATOR ASSEMB
ST009020=FRAME OPERATOR ASSEMB
TR009001=TERMINAL CONTACT
TR009002=CENTER TERMINAL
TR009010=CONTACT TERMINAL ASSY
TR010003=TERMINAL (SHORT)
TR010030=TERMINAL ASSY (SHORT)
TR011002=TERMINAL (LONG)
TR011004=TERMINAL
TR014001=MAIN TERMINAL
TR014010=TERMINAL ASSEMBLY
TR015001=COIL TERMINAL
TS009001=TERMINAL SHIELD (TOP)
TS009010=TERMINAL SHIELD ASSEM
TS009020=TERMINAL SHIELD ASSEM
TS013001=TERMINAL SHIELD
TS013002=TERMINAL SHIELD
TS013010=TERMINAL SHIELD ASSEM
TS014001=ARC CHUTE
TS016001=TERMINAL SHIELD
TS017001=TERMINAL SHIELD BOTTO
WD011002=NAMEPLATE SAH106C
WD012001=SCHEMATIC SAH106C
WD015001=NAMEPLATE SA120B
WD016001=SCHEMATIC SA120B
WD019001=NAMEPLATE SAH116
WD020001=WIRING DIAGRAM SAH116
WD021001=WIRING DIAGRAM SAH106
WD021002=NAMEPLATE SAH106A
WD024001=NAMEPLATE
BB493C1=MOUNTING BASE ASSEMBLY
BB493X=TEST BASE
BB494=TEST BASE - BP494
BB494H=BASE CONTACTOR SUPPORT
"KC175=CONVERSION KIT, A400A"
KC176=KIT-TERMINAL SHIELD
KO180=KIT - HARDWARE
BH316C=RELAY
BH315 (FAA/PMA)=OVERALL-RELAY
BH201B=RELAY
BH201A=RELAY
BH125TH1=RELAY
BAR104KB=CONTACTOR-160AMP
BA104R=RELAY
B429Z=RELAY
B429C (FAA/PMA)=RELAY
B429AB=RELAY
DH7BK=RELAY
DH7BD=RELAY
DH14BB=RELAY
DH14B2=RELAY
DH14B=RELAY
D7BC=RELAY
D25BAA (FAA/PMA)=RELAY
B393B=RELAY
B345HM=RELAY
B227 (FAA/PMA)=RELAY
B140AC=RELAY
B140AA=RELAY
B124VL=RELAY
B124T1=RELAY
N220A=RELAY
A770PA=RELAY
A770C=RELAY
A770AK=RELAY
A7703=RELAY
A770=RELAY
A400L=START CONTACTOR-400 AMP
A400A=*INACTIVE* CONTACTOR
E341=RELAY
E332=SOLID STATE TIME DELAY
E329=RELAY
E328=RELAY
E327W=RELAY
E326A=RELAY
E323F=RELAY
E316F=RELAY
E312V=RELAY
E312P=RELAY
P2002001LRM=LRM CONFIGURATION
P2002001 (FAA/PMA)=PANEL ASSEMBLY P200
P2002000 (FAA/PMA)=PANEL ASSEMBLY P200
P1003=HPSM #4
P1001010=LEFT POWER PANEL-P100
P1001009LRM=LRM CONFIGURATION
P1001009=LEFT POWER PANEL
P1001008LRM=LRM CONFIGURATION
P1001008=PANEL ASSY P-100
P1001007LRM=LRM CONFIGURATION
A2105F=POWER DISTRIBUTION UNIT
A2105E=POWER DISTRIBUTION
A2105D=RELAY
A2104F=POWER DISTRIBUTION UNIT
A2104E=POWER DIST. UNIT
A2092=RELAY POWER CONTL.UNIT L
A2091=RELAY
DR7MB=CONTACTOR
K400B5C1=400 AMP CONTACTOR
6088001=COIL
7597005=PLATE COVER
07602010=*OBSOLETE* CONTACT-MOVABLE
7826001=PLATE BASE
8754000=PLATE CHEEKS
8758002=BASE SUB
8759000=BASE SUB
8759001=BASE SUB
8760001=CLAMP
9079000=CORE YOKE
9091001=COIL ASSY - SERIES
9305000=WASHER
9570000=SPRING ARMATURE
9574000=LINER-COVER
"9581000=PLATE, RELAY"
9900001=GUIDE CONTACT
10177002=PLATE SPACER
10181001=CLAMP
10192002=SPRING CUP
10245002=SUPPORT CONTACT
10666000=PLATE FRAME
10669000=COVER
10670000=WASHER
"10830001=PLATE, MOUNTING"
"10833000=BASE, GUIDE"
10837002=BRACKET
10844000=INSULATION MOTOR
10849001=BRKT - CONTACT SUPPOR
10975020=WRAPPER ASSY.
11128000=PLATE-GUIDE
11129001=STRAP-TERMINAL
11129002=STRAP TERMINAL
11141000=BASE-GUIDE
11424080=COVER ASSEMBLY TERMIN
11424100=COVER ASSY
11613011=WASHER-BRAZING .37-OD
11804002=POST RT CONTACT
11804020=POST CONTACT
11805001=POST RT CONTACT
11805010=POST CONTACT AS
11806010=POST CONTACT LF
11811010=POST-CONTACT
11832001=BASE MAIN
12054030=*OBSOLETE* CONTACTOR ASSEM.
12394010=PLATE
13335001=PLATE BASE COVER
13339001=BAR BUS
